,0
2000-03-03,0.0
2019-03-27,0.0
2012-03-16,1.0
2010-02-15,0.0
2013-07-24,0.0
2011-10-13,0.0
2018-04-30,0.0
2000-07-28,0.0
2005-04-06,1.0
2014-12-04,1.0
2016-09-06,0.0
2006-05-03,0.0
2015-12-08,0.0
2006-12-27,0.0
2008-11-18,0.0
2011-07-21,1.0
2012-08-21,1.0
2014-03-06,1.0
2002-05-15,0.0
2006-11-20,0.0
2005-08-10,0.0
2006-11-15,1.0
2002-11-15,0.0
2014-02-13,0.0
2007-12-06,0.0
2012-03-23,1.0
2009-05-18,0.0
2007-11-08,0.0
2002-05-31,1.0
2004-12-29,1.0
2007-10-11,0.0
2018-07-19,0.0
2007-08-17,1.0
2002-05-28,1.0
2016-06-10,1.0
2000-08-22,0.0
2000-12-13,1.0
2014-02-19,1.0
2004-12-22,1.0
2008-10-16,1.0
2010-01-26,1.0
2002-07-15,1.0
2008-05-05,0.0
2005-02-25,1.0
2009-06-09,1.0
2008-06-03,0.0
2008-05-23,0.0
2015-04-30,0.0
2006-03-20,0.0
2015-09-09,1.0
2012-08-07,0.0
2009-03-26,0.0
2014-03-12,1.0
2013-11-12,1.0
2011-05-26,1.0
2011-10-28,0.0
2002-01-03,1.0
2007-08-08,1.0
2013-10-31,0.0
2013-11-14,1.0
2009-03-31,0.0
2017-01-31,0.0
2018-01-25,1.0
2009-12-28,0.0
2017-08-21,1.0
2000-12-13,1.0
2000-05-30,1.0
2018-07-26,0.0
2015-01-23,1.0
2013-11-25,1.0
2004-03-04,1.0
2017-03-17,0.0
2008-12-18,1.0
2005-08-08,0.0
2002-09-25,1.0
2015-11-17,1.0
2005-08-01,0.0
2007-08-31,1.0
2000-05-05,0.0
2005-10-04,1.0
2001-10-04,0.0
2001-05-07,0.0
2014-10-21,0.0
2002-02-27,0.0
2016-07-22,0.0
2010-02-10,1.0
2016-04-19,0.0
2009-11-05,0.0
2002-08-26,1.0
2016-02-23,0.0
2000-11-07,0.0
2006-11-13,1.0
2004-02-13,1.0
2013-12-27,1.0
2002-07-18,1.0
2013-11-21,1.0
2002-01-30,1.0
2007-08-03,0.0
2014-06-20,1.0
2002-05-29,1.0
2012-11-02,0.0
2013-11-08,1.0
2001-02-14,0.0
